,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,price-binned,diesel,gas
0,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.32478632478632447,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,13495,low,0,1
1,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.32478632478632447,-2.0290145032580464,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,16500,low,0,1
2,1,122.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.4444444444444446,-0.5583194270710061,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,26,16500,low,0,1
3,2,164.0,audi,gas,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.5042735042735046,0.21788075202770885,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,30,13950,low,0,1
4,2,164.0,audi,gas,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.521367521367522,0.21788075202770885,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,22,17450,low,0,1
5,2,122.0,audi,gas,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.5128205128205127,-0.27235094003463606,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,15250,low,0,1
6,1,158.0,audi,gas,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004489,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,17710,low,0,1
7,1,122.0,audi,gas,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.7898177261004489,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,18920,medium,0,1
8,1,158.0,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9487179487179492,0.8715230081108383,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,20,23875,medium,0,1
10,2,192.0,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16430,low,0,1
11,0,192.0,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16925,low,0,1
12,0,188.0,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,20970,medium,0,1
13,0,188.0,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.3846153846153845,0.21788075202770885,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,21105,medium,0,1
14,1,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004489,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,25,24565,medium,0,1
15,0,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.5641025641025647,0.7898177261004489,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,30760,medium,0,1
16,0,122.0,bmw,gas,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.6495726495726502,-0.027235094003462152,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,41315,high,0,1
17,0,122.0,bmw,gas,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.9059829059829065,1.03493357213162,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,20,36880,high,0,1
18,2,121.0,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.0,-0.2314982990294399,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,53,5151,low,0,1
